,TOP0_name,TOP0_role,TOP0_champion,TOP0_winrate,TOP0_wins,TOP0_losses,JGL0_name,JGL0_role,JGL0_champion,JGL0_winrate,JGL0_wins,JGL0_losses,MID0_name,MID0_role,MID0_champion,MID0_winrate,MID0_wins,MID0_losses,ADC0_name,ADC0_role,ADC0_champion,ADC0_winrate,ADC0_wins,ADC0_losses,SUP0_name,SUP0_role,SUP0_champion,SUP0_winrate,SUP0_wins,SUP0_losses,TOP1_name,TOP1_role,TOP1_champion,TOP1_winrate,TOP1_wins,TOP1_losses,JGL1_name,JGL1_role,JGL1_champion,JGL1_winrate,JGL1_wins,JGL1_losses,MID1_name,MID1_role,MID1_champion,MID1_winrate,MID1_wins,MID1_losses,ADC1_name,ADC1_role,ADC1_champion,ADC1_winrate,ADC1_wins,ADC1_losses,SUP1_name,SUP1_role,SUP1_champion,SUP1_winrate,SUP1_wins,SUP1_losses
EUW1_5961859985,vig77pro,TOP,Chogath,0.6417910447761194,43,24,Pena5,JGL,Zac,0.5,2,2,Bukacki,MID,Lux,0.6551724137931034,19,10,Jukes For Jesus,ADC,Jinx,0.5,25,25,Keisari88,SUP,Lulu,-1.0,-1,-1,RayseurLeBG,TOP,Gragas,0.6666666666666666,8,4,gerroz,JGL,Hecarim,0.0,0,1,RebeuSuprem,MID,Zed,0.5298804780876494,133,118,GetOutThreshed,ADC,Ezreal,-1.0,-1,-1,AxelVermilion,SUP,Senna,-1.0,-1,-1
EUW1_6017021003,Konaten,TOP,Malphite,0.5714285714285714,4,3,oOD4rk S4suk3Oo,JGL,MasterYi,0.5,24,24,Ðenko,MID,Viktor,0.6,36,24,Aissalover,ADC,Jinx,0.36,18,32,CHOCOLATINE DU31,SUP,Yuumi,0.0,0,3,Aza Chøbeî,TOP,Gangplank,0.4957142857142857,347,353,Lukake1337,JGL,Olaf,1.0,2,0,PagerAkZj,MID,Sylas,0.48,12,13,Penta Oscuro,ADC,Samira,0.6285714285714286,22,13,SofiFace,SUP,Renata,-1.0,-1,-1
EUW1_6141792650,leeduk,TOP,Vayne,0.6428571428571429,9,5,Skindreds,JGL,Diana,0.5700934579439252,122,92,np im robin,MID,Sylas,0.7272727272727273,8,3,Syine,ADC,MissFortune,0.5032051282051282,157,155,IlNerdoneDiTurno,SUP,Nami,0.5324232081911263,156,137,SKT Tamer ,TOP,Garen,0.5384615384615384,91,78,LER FREAKZ,JGL,Belveth,-1.0,-1,-1,TàstéMyBlàdé,MID,Swain,0.4166666666666667,5,7,Bady,ADC,Ashe,0.5555555555555556,10,8,Limules,SUP,Xerath,0.5,4,4
EUW1_6140951758,AXZYTE29,TOP,Camille,-1.0,-1,-1,A Very Kind Red,JGL,Kindred,1.0,1,0,Adryl,MID,Seraphine,1.0,2,0,Fehrenando,ADC,KogMaw,1.0,1,0,tikifrack,SUP,Alistar,-1.0,-1,-1,Philions,TOP,Aatrox,-1.0,-1,-1,ShyvanaStepsOnMe,JGL,Shyvana,0.5362318840579711,74,64,Lone Prayer,MID,Sylas,0.75,3,1,Δrch  Ξr,ADC,Tristana,0.7142857142857143,10,4,ξυηøγα,SUP,Janna,-1.0,-1,-1
EUW1_6126753857,Moskvacold,TOP,Trundle,1.0,1,0,Robot Taekwon V,JGL,Zac,0.5304659498207885,148,131,Dopamin Junky,MID,Chogath,0.6571428571428571,115,60,I am Sugar Daddy,ADC,Kaisa,0.6176470588235294,42,26,Fluxence,SUP,Janna,0.525,42,38,Adorable Illaoi,TOP,Udyr,0.6818181818181818,15,7,iFloxii,JGL,LeeSin,0.4810126582278481,38,41,Freaky46,MID,Vladimir,0.6178861788617886,76,47,eWzPaColin,ADC,Lucian,0.0,0,2,Skydancing,SUP,Nami,0.0,0,2
EUW1_6125293137,tonia111,TOP,Camille,0.391304347826087,9,14,Drèád,JGL,Rengar,-1.0,-1,-1,MuellerMeister,MID,Gangplank,0.3548387096774194,11,20,MakaniTalan,ADC,MissFortune,0.5,73,73,Washed Toaster ,SUP,Ashe,0.4782608695652174,11,12,G1ML111,TOP,Garen,0.6071428571428571,51,33,TheRentnerX,JGL,XinZhao,0.6666666666666666,2,1,Inërion,MID,Orianna,0.5,6,6,Jenico,ADC,Aphelios,-1.0,-1,-1,Gascon,SUP,Swain,-1.0,-1,-1
EUW1_6140864173,GamerManIsHere,TOP,Kennen,1.0,2,0,Jax Off,JGL,Shyvana,-1.0,-1,-1,Csmn,MID,Talon,0.5357142857142857,15,13,NA Spaghetti,ADC,Tristana,0.68,17,8,Ramón y KJal,SUP,Maokai,-1.0,-1,-1,Theoarbast,TOP,Nocturne,0.6666666666666666,2,1,Ziepos,JGL,Volibear,0.5,2,2,Kalderis,MID,Neeko,0.44,11,14,tapa 2 galo,ADC,Jhin,0.5945945945945946,22,15,lm bad S0RRY,SUP,Leona,0.5666666666666667,17,13
EUW1_6057649188,Twich Kingash830,TOP,Garen,0.4230769230769231,22,30,NeeYRaaz,JGL,Udyr,0.5,3,3,Sniff My Cheeks,MID,Viktor,0.5486111111111112,79,65,SlayerFlash,ADC,Jhin,0.5882352941176471,10,7,WarKold,SUP,Pantheon,0.4117647058823529,7,10,oreo1988,TOP,Darius,0.5560344827586207,258,206,Panduro,JGL,Khazix,0.7027027027027027,26,11,Tête de prune,MID,KogMaw,0.5813953488372093,25,18,CreepinG Death67,ADC,Seraphine,0.6153846153846154,8,5,Haakukusu,SUP,Senna,0.563953488372093,97,75
EUW1_6118289959,Cozy Shroud,TOP,Darius,0.5777777777777777,26,19,M03D1,JGL,Udyr,0.5754716981132075,122,90,Nero42Ø,MID,Vex,0.5615763546798029,114,89,ALAN TURBO INT,ADC,Twitch,-1.0,-1,-1,qeist,SUP,Nami,0.5357142857142857,15,13,CiombEnietto,TOP,Illaoi,0.4946808510638298,93,95,Patrik kun,JGL,Skarner,0.6470588235294118,11,6,Djusko2,MID,Lissandra,0.5661375661375662,107,82,CappuTheCupcake,ADC,Fizz,0.5476190476190477,69,57,Volume ıIl,SUP,Zilean,0.5487804878048781,45,37
EUW1_6139851736,Its So Free,TOP,Garen,0.5463576158940397,165,137,Mysteryy,JGL,Kayn,0.5387323943661971,306,262,Webarknecht,MID,Corki,0.5,1,1,Yourî,ADC,Samira,0.5180722891566265,43,40,Indaaface,SUP,Amumu,0.3877551020408163,19,30,Songes,TOP,Fiora,0.0,0,1,Nεxt Cαnyøn,JGL,LeeSin,0.0,0,1,pppe,MID,Azir,0.0,0,2,Titi Power,ADC,Vayne,0.5625,27,21,ReDMacc,SUP,Brand,0.52,13,12
EUW1_6052284598,PAJARO NEGRO,TOP,Rumble,0.6428571428571429,27,15,Tirhîl,JGL,JarvanIV,0.5,1,1,klm444 ,MID,Katarina,0.5379746835443038,85,73,i Dont feel,ADC,Draven,0.5862068965517241,17,12, Þórný Iuvenalis,SUP,Renata,-1.0,-1,-1,LeonTheChameleon,TOP,Aatrox,0.6521739130434783,15,8,22bixit79,JGL,Gragas,0.5925925925925926,16,11,PikaRogue,MID,Vladimir,-1.0,-1,-1,BlissfulOverdose,ADC,MissFortune,0.5,2,2,AlexisInZDaBinKs,SUP,Galio,0.5254237288135594,217,196
EUW1_6141566418,Perxism,TOP,KSante,0.0,0,2,erös tejcy,JGL,RekSai,0.3333333333333333,2,4,Kaoler,MID,Malzahar,0.5,3,3,XDaymond,ADC,Ashe,0.3888888888888889,7,11,NOB ALPHAGRESSIF,SUP,Lulu,0.0,0,1,GassyGarry,TOP,Yorick,1.0,1,0,ypunllfq,JGL,Zac,0.4782608695652174,44,48,NEED GUNBLADE,MID,Katarina,0.5394456289978679,253,216,Sileence,ADC,Kaisa,0.36363636363636365,8,14,Hipzie,SUP,Blitzcrank,0.6142857142857143,43,27
EUW1_6098122556,Navadeshi,TOP,XinZhao,0.5230769230769231,34,31,Enneeland,JGL,JarvanIV,0.0,0,2,Ω Dicey ,MID,Yasuo,0.5714285714285714,8,6,Anneru,ADC,Aphelios,0.5666666666666667,17,13,ScoobyLovesPizza,SUP,Lulu,0.5714285714285714,96,72,Daronne a Canyon,TOP,Nautilus,1.0,1,0,Haipoic,JGL,Nunu,-1.0,-1,-1,xSyxcko,MID,Yone,0.7692307692307693,10,3,Nothinx,ADC,Sivir,0.6842105263157895,13,6,clauu,SUP,Nami,0.5763888888888888,83,61
EUW1_5840292022,Sett the Score ,TOP,Sett,0.5553145336225597,512,410,Peter Schneck,JGL,Kayn,0.5169491525423728,61,57,Fiskus,MID,Ekko,0.5,4,4,Red Grave Dante,ADC,Ashe,0.42857142857142855,9,12,TosukeLoL,SUP,Swain,-1.0,-1,-1,ESCAPEDELAN,TOP,Fiora,0.5237154150197628,265,241,I Strife I,JGL,Warwick,0.5563258232235702,321,256,Gankalot,MID,Malzahar,0.5263157894736842,10,9,Persson72,ADC,Samira,0.563076923076923,183,142,sicckeyz,SUP,Thresh,0.5265306122448979,129,116
EUW1_6140475202,Hardstuck Fer IV,TOP,Shen,0.0,0,2,eyzmachine,JGL,Diana,0.6140350877192983,35,22,ViROZ1,MID,Zoe,0.5802469135802469,47,34,Nohei,ADC,Caitlyn,0.6,9,6,Fenghua,SUP,Soraka,0.5873015873015873,37,26,big ego riven,TOP,Riven,0.5472312703583062,168,139,LaBaguetteDunkée,JGL,Shyvana,0.5925925925925926,64,44,Distrot,MID,Sylas,0.3,3,7,NaxaPistaxa,ADC,Ezreal,0.5166666666666667,31,29,Darwiky,SUP,Ashe,0.5263157894736842,20,18
EUW1_6040788324,daddy broken,TOP,Zac,0.549618320610687,72,59,un clik droit,JGL,LeeSin,0.6666666666666666,10,5,naughtyRYZE,MID,Lissandra,0.4933008526187576,405,416,Reol Simp,ADC,Sivir,0.6086956521739131,14,9,Elquines,SUP,Karma,0.5952380952380952,25,17,xHeliniux,TOP,Shen,0.25,1,3,INTelligentYasuo,JGL,Viego,0.0,0,1,Bakincaking,MID,Viktor,0.0,0,1,Kullukka,ADC,Ashe,0.2,1,4,Herra Pontso,SUP,Lux,0.54,27,23
EUW1_5865090118,Mortal WiII,TOP,Samira,0.42857142857142855,6,8,TopZug,JGL,Volibear,1.0,1,0,Kiss My Ashes,MID,Galio,-1.0,-1,-1,iTK,ADC,Ezreal,0.2857142857142857,2,5,Ypipo,SUP,Thresh,0.475,19,21,ProfessionaI Dog,TOP,Gangplank,0.5,1,1,1aniaK,JGL,Talon,-1.0,-1,-1,reaixR,MID,Sylas,-1.0,-1,-1,Feeelix,ADC,Draven,-1.0,-1,-1,Sarfury,SUP,Blitzcrank,0.46846846846846846,52,59
EUW1_6128335674,breakingbad2552,TOP,Malphite,0.5294117647058824,9,8,Abbé 8Tre,JGL,Kayn,0.4444444444444444,4,5,GRS Aqrox,MID,Orianna,0.6296296296296297,34,20,HellBeastofFire,ADC,Jhin,0.4852941176470588,33,35,Clawrk,SUP,Senna,0.5230769230769231,102,93,CNmeilleurZeD,TOP,Fiora,0.5757575757575758,95,70,DecwerT,JGL,Amumu,0.0,0,1,PlAyErShOoTeR,MID,Varus,0.0,0,2,IYuckYou,ADC,Caitlyn,0.75,24,8,Aaaaaaaaaaya,SUP,Thresh,0.5833333333333334,42,30
EUW1_6132126712,Ashverdar,TOP,Aatrox,1.0,1,0,N4M31,JGL,Lillia,0.5040650406504065,62,61,Murakoi,MID,Kassadin,0.75,3,1,Hard to Kill,ADC,Ezreal,0.5,1,1,cs 1 6 R aimbot,SUP,Senna,0.5154639175257731,50,47,tilt proof no ff,TOP,Jax,0.5139664804469274,92,87,420ShadesOfGreen,JGL,Amumu,0.42857142857142855,21,28,BerQ,MID,Ryze,0.5,1,1,happyboicrispy,ADC,Caitlyn,0.525,21,19,Liander,SUP,Brand,0.42857142857142855,9,12
EUW1_6131186618,blackSasuke1771,TOP,Ornn,0.0,0,1,AboutZollo,JGL,Volibear,0.0,0,1,BL Enies,MID,Viktor,-1.0,-1,-1,BoxlngShadows,ADC,Vayne,0.8333333333333334,5,1,aΙana,SUP,Karma,-1.0,-1,-1,Khentykhety,TOP,Renekton,0.75,9,3,l Atomicmaster l,JGL,Belveth,0.5348837209302325,23,20,I Can See,MID,Malzahar,-1.0,-1,-1,Walteř,ADC,Ezreal,0.36363636363636365,4,7,Melvikun,SUP,Janna,0.5,3,3
EUW1_6125509643,Diesel Dirk,TOP,Camille,0.7272727272727273,16,6,xWHY SO SHYx,JGL,Shyvana,-1.0,-1,-1,pk3er pker5,MID,TwistedFate,0.5,17,17,zdoon,ADC,MissFortune,0.5555555555555556,5,4,HotSPlayer1,SUP,Lulu,0.625,5,3,Be ZOEs dog,TOP,Fiora,0.4307692307692308,28,37,RNG Aola,JGL,MasterYi,0.5,1,1,Kethex,MID,Viktor,0.5128205128205128,140,133,Filthy ADC,ADC,Tristana,0.5238095238095238,33,30,Arrancabrita,SUP,Xerath,0.5512820512820513,86,70
EUW1_6136846726,ILUVWEAKSIDE,TOP,Jax,0.5909090909090909,78,54,Adc Account v2,JGL,Khazix,0.5285714285714286,37,33,el Reipo grande,MID,Zoe,0.5454545454545454,12,10,MentalWarfareXD,ADC,MissFortune,0.5106382978723404,48,46,PandaInRL,SUP,Karma,0.5689655172413793,66,50,HUGE D CANE,TOP,Nasus,0.5319949811794228,424,373,Bebechamo,JGL,Evelynn,0.5317286652078774,243,214,Facebook,MID,Malzahar,0.42857142857142855,6,8,empereur1999,ADC,Ezreal,0.45098039215686275,23,28,ViRüZ,SUP,Bard,0.5272727272727272,29,26
EUW1_6140777321,r3port myJungler,TOP,Kayle,0.45454545454545453,5,6,Naighadonsyl,JGL,Elise,0.5,3,3,Galaxy9,MID,Qiyana,0.5323741007194245,74,65,FALLOUU,ADC,Chogath,1.0,4,0,ArishaDuLac,SUP,Senna,0.7142857142857143,10,4,ψ Plew ,TOP,KSante,0.5,2,2,ψ RΛIN,JGL,Diana,0.4,10,15,Giwepi,MID,Lissandra,0.5217391304347826,12,11,NA Spaghetti,ADC,Samira,0.5384615384615384,7,6,ZebinioSS,SUP,Pyke,0.6486486486486487,24,13
EUW1_6127699732,Wjy1031isapig,TOP,Jayce,0.4533333333333333,68,82,AubameYahye,JGL,LeeSin,0.6666666666666666,2,1,Myrridin,MID,Syndra,0.550314465408805,175,143,Crit for Jhin,ADC,Caitlyn,0.5540540540540541,41,33,Bubbleb0y,SUP,Blitzcrank,0.5714285714285714,4,3,Qiyana Mahorais ,TOP,Irelia,0.4827586206896552,14,15,iou mate,JGL,Evelynn,0.45454545454545453,5,6,FB MAVE,MID,Zed,0.53125,17,15,house big,ADC,MissFortune,0.8333333333333334,10,2,Will Hartwigsen,SUP,Thresh,0.5,4,4
EUW1_6104867811,Daddy Cioccolata,TOP,Sion,0.5,2,2,Sir Tassies,JGL,Warwick,0.453125,29,35,VladPriava,MID,Viktor,0.5873015873015873,37,26,ŠHÎŇÎGÂMÎ Nino,ADC,Nilah,0.3333333333333333,1,2,ofu163,SUP,Thresh,0.5,1,1,IMonchTehBred,TOP,Sett,0.4,2,3,roichamelle,JGL,Shyvana,0.8,16,4,Kalaweit,MID,Anivia,0.4938650306748466,161,165,KarmaBaguette,ADC,Kaisa,0.5431472081218274,107,90,LΟΤUS,SUP,Nautilus,0.0,0,1
EUW1_6125824462,ad victorem,TOP,Ornn,0.6470588235294118,11,6,BB Shmurda,JGL,Olaf,0.625,30,18,Reformed JaceAce,MID,Akali,0.5081967213114754,62,60,Melandio,ADC,Sivir,0.16666666666666666,1,5,Mary Shelley,SUP,Thresh,0.49162011173184356,176,182,Κyoya,TOP,Kaisa,0.34782608695652173,8,15,UnluckyMoe,JGL,Vi,0.46153846153846156,48,56,pcain,MID,Swain,0.3333333333333333,1,2,Reeky,ADC,Nilah,-1.0,-1,-1,Schnoeffel,SUP,Taric,1.0,5,0
EUW1_6141789796,Teemo is free lp,TOP,Teemo,0.5117139334155364,415,396,Akuma Hashiro,JGL,Kindred,0.5882352941176471,10,7,VladiToTheMir,MID,Xerath,0.5555555555555556,10,8,VININE Wifels,ADC,Seraphine,0.625,5,3,Its okay im good,SUP,Lux,0.5,5,5,TaylorSnifft,TOP,Gragas,1.0,1,0,sad cat XD,JGL,Hecarim,0.6363636363636364,21,12,Nevermindeed,MID,Yone,0.5454545454545454,12,10,Xeagle14X,ADC,Caitlyn,0.2857142857142857,4,10,KaitoTakama,SUP,Morgana,0.5,1,1
EUW1_6090504245,downsiondrom,TOP,Sion,0.5245283018867924,139,126,Moonfirecape,JGL,Twitch,0.5,1,1,QueenHarley,MID,Syndra,0.16666666666666666,1,5,Le Gaz Melaz,ADC,Jhin,0.5,7,7,oh no supp again,SUP,Zyra,0.36363636363636365,4,7,ez Homer,TOP,Teemo,0.54524089306698,464,387,HankSchmood,JGL,MasterYi,0.2857142857142857,2,5,Windy Drift,MID,Viktor,0.4166666666666667,5,7,BOT Kiwii,ADC,Karthus,1.0,1,0,Méladonis,SUP,Ashe,0.42105263157894735,8,11
EUW1_6138640054,Scorpio nk0,TOP,Camille,0.4411764705882353,15,19,Carlitos Way,JGL,Hecarim,0.5333333333333333,16,14,MechaKhazìx,MID,Syndra,0.2727272727272727,3,8,AJ7,ADC,Xayah,0.631578947368421,12,7,Arktos Anivia,SUP,Rakan,0.6666666666666666,4,2,Akilli0n,TOP,Riven,0.4787234042553192,45,49,SHE LEFT ,JGL,Kindred,-1.0,-1,-1,TayMing,MID,Ekko,0.52046783625731,356,328,MorphineIsGreaat,ADC,Jhin,0.5589225589225589,498,393,Heíman,SUP,Leona,0.5882352941176471,20,14
EUW1_6141401561,IGL Kinnay,TOP,Darius,0.16666666666666666,1,5,chat abuser XD,JGL,LeeSin,0.5222222222222223,47,43,Xmasteryoda1337X,MID,Viktor,1.0,3,0,Kokohöna,ADC,Nilah,0.75,6,2,bugi goes lcs,SUP,Lulu,0.36363636363636365,4,7,DRX MA TOUT PRIS,TOP,Camille,-1.0,-1,-1,IM SHACO HATER,JGL,Viego,-1.0,-1,-1,reissileP,MID,Ziggs,0.5463917525773195,53,44,LeSiffrein,ADC,Kaisa,0.45454545454545453,5,6,chat is muted xo,SUP,Thresh,0.3333333333333333,2,4
EUW1_6122135589, Magicien Nwaar,TOP,Nasus,0.0,0,1,Żara Larssøn Fan,JGL,Graves,0.0,0,1,MartiMcfli,MID,Akali,0.0,0,1,HCpff,ADC,Caitlyn,-1.0,-1,-1,Andi Positas,SUP,Zoe,0.5,40,40,Storm Raiderz,TOP,Yorick,0.4,2,3,Gérard Menvuςa,JGL,Khazix,-1.0,-1,-1,hyunjintheworld,MID,Leblanc,0.3333333333333333,1,2,Ayyub Ich,ADC,Brand,0.5,1,1,297,SUP,MissFortune,0.0,0,2
EUW1_6141746092,aritmética,TOP,Mordekaiser,0.47959183673469385,47,51,K nyon,JGL,Hecarim,-1.0,-1,-1,OneSho1,MID,Yasuo,0.4823529411764706,41,44,Jarce Baatero,ADC,Jhin,0.5102040816326531,50,48,Top G no ban,SUP,Nautilus,0.375,3,5,Chronos DC,TOP,Gangplank,0.4375,7,9,2zpyra,JGL,MonkeyKing,0.5536723163841808,98,79,depressions999,MID,Qiyana,0.5476190476190477,115,95,GjerneBaby ,ADC,Tristana,0.42857142857142855,3,4,Neeziaa,SUP,Senna,0.47619047619047616,10,11
EUW1_6102333292,zoRoJuro Zorro,TOP,Darius,0.5481927710843374,91,75,L9 Gragas,JGL,LeeSin,0.4375,7,9,Lłght,MID,Syndra,0.4,4,6,forgotten pro,ADC,Lucian,0.3333333333333333,2,4,gimme adc,SUP,Rakan,0.5,1,1,European NMSL,TOP,Mordekaiser,0.48,12,13,MBaderMGamer,JGL,Ivern,0.5380622837370242,311,267,just an orianna,MID,Orianna,0.5054545454545455,139,136,Sarevoll,ADC,Twitch,0.5308924485125858,464,410,MoonwooD,SUP,Yuumi,0.41379310344827586,12,17
EUW1_6136862011,Peix,TOP,Fiora,0.6538461538461539,34,18,winkin02,JGL,Maokai,0.625,5,3,gordonramsay666,MID,Sivir,0.6,9,6,Estraviado,ADC,Vayne,0.5300925925925926,229,203,Bärchn,SUP,Brand,1.0,3,0,Musach,TOP,Veigar,0.5256410256410257,123,111,ennn pellejönsen,JGL,XinZhao,0.6,6,4,TeaLeb,MID,Vex,0.5616438356164384,41,32,Kelnhor,ADC,Caitlyn,0.36363636363636365,8,14,b R Y A A N ,SUP,Ashe,-1.0,-1,-1
EUW1_6137372524,yaryoooor,TOP,KSante,0.0,0,1,Taco Eataco,JGL,Hecarim,0.5181818181818182,114,106,MONSTER COOKIEE,MID,Akali,0.5486111111111112,316,260,Pastaway,ADC,Karthus,0.6041666666666666,29,19,XXXDeathXXX,SUP,Nami,0.5,1,1,MonkeyMan980,TOP,Camille,0.6153846153846154,32,20,DasMonstrumInMir,JGL,Talon,0.5714285714285714,4,3,KiwiBlo0d,MID,Swain,1.0,1,0,JustinBieber619,ADC,Vayne,0.6521739130434783,15,8,IWMP Milenus,SUP,Lulu,0.42857142857142855,3,4
EUW1_6103106330,TAS Petrusder7te,TOP,Rengar,0.55,33,27,FlylngPanda,JGL,Khazix,0.5391566265060241,179,153,KmeIin,MID,Lux,0.6235294117647059,53,32,Snill Kamel,ADC,Kaisa,0.5394736842105263,41,35,GB1stOwO,SUP,Nautilus,0.7,7,3,Pikavenger,TOP,Shen,0.5617021276595745,132,103,Intererdig225,JGL,LeeSin,0.29411764705882354,5,12,Xx Dark Poney,MID,Cassiopeia,0.5263157894736842,20,18,TDS Téton Reborn,ADC,MissFortune,0.5151515151515151,17,16,Hakutoro,SUP,Leona,0.5384615384615384,7,6
EUW1_6137216028,LiangMi,TOP,Kalista,0.4925373134328358,132,136,Pang Zai,JGL,JarvanIV,0.3333333333333333,1,2,Χue Zhi Qian,MID,Galio,0.3333333333333333,1,2,King Frize,ADC,Lucian,0.5125,41,39,Spesster,SUP,Nami,0.2222222222222222,2,7,IvernIsMaiWaifu,TOP,KSante,0.52,13,12,Pacı,JGL,Shaco,0.5633802816901409,240,186,Zekram,MID,Taliyah,0.7,14,6,Trıcky,ADC,Tristana,0.6296296296296297,17,10,Hukonu,SUP,Morgana,0.6382978723404256,30,17
EUW1_6141570741,Jari chan,TOP,Irelia,0.5625,18,14,Iuffkne,JGL,Hecarim,0.42857142857142855,3,4,FlyingNeutron,MID,Yasuo,0.625,5,3,believeinGALA,ADC,Twitch,0.35714285714285715,5,9,Rixyback,SUP,Pyke,0.5568445475638051,240,191,That Weird Kid,TOP,Mordekaiser,0.6296296296296297,17,10,RomHDTV,JGL,Kayn,0.5454545454545454,18,15,Mr FamouzZ,MID,Viktor,0.0,0,1,Sαmsey,ADC,Tristana,0.75,3,1,Passiva,SUP,Nami,0.5,4,4
EUW1_6140431651,MLGTorstits,TOP,Jayce,0.0,0,1,musyæ,JGL,MasterYi,0.7272727272727273,8,3,Beehen,MID,Akali,0.4,8,12,Hers,ADC,Seraphine,0.47058823529411764,8,9,Aubrey,SUP,Sona,0.5555555555555556,5,4,Korean Frozen,TOP,Fiora,0.5337423312883436,87,76,PreDaikis,JGL,Taliyah,-1.0,-1,-1,sad chinese mid,MID,Swain,0.45901639344262296,28,33,Kanárek,ADC,Twitch,0.5079365079365079,64,62,BenettonY,SUP,Renata,-1.0,-1,-1
EUW1_6140593997,vvvalentiiin7777,TOP,Aatrox,0.5,5,5,Jungling Sasuke,JGL,Kayn,0.5772058823529411,157,115,Proffesor Veigar,MID,Lux,-1.0,-1,-1,Espuda,ADC,Varus,0.6666666666666666,14,7,Thiandolina,SUP,Zilean,0.39285714285714285,11,17,KingNickTheBest,TOP,Garen,0.0,0,4,FunkyGoblinH,JGL,Hecarim,0.4166666666666667,10,14,Nicolai Smoke,MID,Orianna,0.3333333333333333,2,4,iPanda3,ADC,Jhin,0.5497630331753555,232,190,Mãrc,SUP,Yuumi,0.4605263157894737,35,41
EUW1_6141763641,maddo scientisto,TOP,Rell,0.3333333333333333,1,2,AaltugReturns,JGL,Shaco,0.5301204819277109,132,117,SkyDaN89,MID,Velkoz,0.48598130841121495,52,55,Zangdu,ADC,Ashe,0.2631578947368421,5,14,Fart in a jar,SUP,Soraka,0.0,0,3,Ω ΘMEGA Ω,TOP,Udyr,0.4942528735632184,43,44,0nlyAT,JGL,Graves,0.47619047619047616,10,11,ΣβŁ69,MID,Lux,0.6666666666666666,4,2,ΣKP PACK,ADC,Caitlyn,-1.0,-1,-1,AllFallen,SUP,Twitch,0.6071428571428571,17,11
EUW1_6134572514,KebabbaroPazzo,TOP,Aatrox,0.5363636363636364,59,51,sylk3y,JGL,Rammus,-1.0,-1,-1,I Press R gg ,MID,Malzahar,0.5220713073005093,615,563,Barrel dem Fools,ADC,Caitlyn,0.5164835164835165,47,44,TOG Tornado,SUP,Leona,0.5555555555555556,20,16,wanderkezanderke,TOP,Pantheon,0.75,6,2,RED ROMANCE,JGL,Udyr,0.75,6,2,ChillingonGrass,MID,Katarina,0.5533980582524272,57,46,lPogl Lasten,ADC,Twitch,0.5841584158415841,118,84,DanaBrow,SUP,Velkoz,0.4946236559139785,46,47
EUW1_6130545690,LowLander96,TOP,Teemo,0.0,0,3,MartoSama,JGL,Graves,-1.0,-1,-1,Tronc,MID,Yasuo,0.5454545454545454,18,15,fata sborrina,ADC,KogMaw,-1.0,-1,-1,saltino,SUP,Thresh,-1.0,-1,-1,Vuurster1408,TOP,Ornn,0.5,3,3,SiegmundSproit,JGL,Viego,0.0,0,1,Killermaster109,MID,Zoe,0.75,3,1,5 Guns No Hοes,ADC,Aphelios,0.5353535353535354,53,46,EagleX14,SUP,Renata,-1.0,-1,-1
EUW1_6074584763,9WenR,TOP,Sett,0.375,3,5,Bloodbanne,JGL,Kayn,0.5365853658536586,132,114,snigelkakanXD,MID,Yone,0.4956521739130435,57,58,Cleansing Raiη,ADC,Kaisa,0.5273972602739726,77,69,Varyawen,SUP,Amumu,0.0,0,1,Delilah Bard,TOP,Kayle,0.6222222222222222,28,17,MJ HOT,JGL,MasterYi,0.5,5,5,Trisi33,MID,Malzahar,0.5714285714285714,4,3,Møøse,ADC,Tristana,0.6,3,2,EdFrazy,SUP,Blitzcrank,0.47104247104247104,122,137
EUW1_6141033443,Sylsys,TOP,Fiora,0.5,1,1,IIIIHappyIIII,JGL,Gragas,-1.0,-1,-1,Only For Science,MID,Annie,0.375,3,5,xeriagonx,ADC,Kaisa,0.5254901960784314,134,121,youriyep,SUP,Leona,0.2727272727272727,3,8,Red Soldier,TOP,Kayn,0.3333333333333333,1,2,Rezahel,JGL,Nunu,-1.0,-1,-1,Aradamguy,MID,Lissandra,0.5,1,1,Elyssa,ADC,Jinx,0.7142857142857143,5,2,UltiNapsKy,SUP,Janna,0.6666666666666666,2,1
EUW1_6128883951,BrokenSlash,TOP,Gangplank,0.45714285714285713,32,38,Fiolemilasia,JGL,Graves,0.3333333333333333,3,6,Aerês,MID,Viktor,0.625,5,3,VAYTH500,ADC,Jhin,0.5704225352112676,81,61,jfqaqkj,SUP,Taliyah,0.5911330049261084,120,83,ssaboy,TOP,Kled,0.6363636363636364,7,4,21 Savaqe,JGL,Shaco,0.5625,45,35,Soskanerealka228,MID,Syndra,0.6285714285714286,22,13,Marsall D Teatch,ADC,Draven,0.46511627906976744,20,23,Bot Zelda,SUP,Leblanc,0.6228070175438597,71,43
EUW1_6140986610,Hepoz,TOP,Rammus,0.4,2,3,SnykS,JGL,Vi,-1.0,-1,-1,Ghetto butter,MID,Yasuo,0.4,4,6,I Am Igor,ADC,Samira,0.0,0,1,ewrsdf,SUP,Ashe,0.25,1,3,ABSOLUTE CHILL,TOP,Camille,0.16666666666666666,1,5,Igneravic,JGL,Hecarim,0.0,0,1,Neithane,MID,Veigar,0.625,15,9,Zaïkato,ADC,Karma,-1.0,-1,-1,edaquila,SUP,Pyke,0.43478260869565216,10,13
